ヒナ	雏	女
ヨルヒコ	夜彦	男
ユキノ	雪乃	女
サクラノ	樱野	女

ヨルくん	夜君	男 夜彦
ヒナギク	雏菊

アオイ	葵	女
ユリ	百合	女
スミレ	菫	女

馆	宅邸
物置	储物间
物置小屋	储物间

手帳	手帐
古い手帳	旧手帐
未完成の絵本	未完成的绘本
客間Aの鍵	客房A的钥匙
客間Bの鍵	客房B的钥匙
バルコニーの鍵	阳台的钥匙
どこかの鍵	某处的钥匙
使用人の鍵	佣人的钥匙
小さな鍵	小钥匙
巻き鍵	发条钥匙
見取り図	平面图

日記帳	日记本
新聞紙	报纸
パンの耳	面包边
マッチ箱	火柴盒
薬物入りの瓶	装有药物的瓶子
じゃがいも	土豆
じゃがいもの皮	土豆皮
メモ	便条
謎のメモ	神秘的便条
寝室のメモ	卧室的便条
食器棚のメモ	餐具柜的便条
謎の写真	神秘的照片
ネコさん貯金箱	猫咪存钱罐
謎の写真と短剣	神秘的照片和短剑
桜の御札	樱花御札
火かき棒	拨火棍
人形	人偶
人形の頭	人偶的头
人形の体	人偶的身体
壺に入った骨	壶中的骨头

ジアゾメタン	重氮甲烷
リシン	蓖麻毒素
テトロドトキシン	河豚毒素
王水	王水
藁人形	稻草人偶

赤い首	红首
砂時計	沙漏
破滅の砂時計	破灭沙漏
時空の砂時計	时空沙漏
血塗れの懐中時計	染血的怀表
人喰いの鏡	食人的镜子
六魂の封焔	六魂的封焰
命喰いの短剣	噬命的短剑
ランタン	提灯
幽光のランタン	灵光提灯
霊光のランタン	灵光提灯

赤い石	红色石头
黄色い石	黄色石头
黄の石	黄色石头
緑い石	绿色石头
緑の石	绿色石头
青い石	蓝色石头
